단계코드,단계명,하위유형,데이터셋,컬럼번호,raw data 컬럼 헤더(문항 원문),레이아웃 코드,전 제품군 공통
S0,메타 (보고서 미출력),,리바랩스 · 캣독런,0,리크루팅,—,미출력
S0,메타 (보고서 미출력),,리바랩스 · 캣독런,59,(빈 열),—,미출력
S0,메타 (보고서 미출력),,케어클 · 테크핏,0,응답시간,—,미출력
S0,메타 (보고서 미출력),,케어클 · 테크핏,1,"본 설문은 ‘테크핏’의 사용성 평가를 위한 것으로, 설문에 응답하기 전에 반드시 제품을 체험해 주시기 바랍니다.",—,미출력
S0,메타 (보고서 미출력),,케어클 · 테크핏,2,정산 방식을 선택해주세요,—,미출력
S0,메타 (보고서 미출력),,케어클 · 테크핏,3,휴대폰 뒷번호 4자리,—,미출력
S0,메타 (보고서 미출력),,이젠오토 · 셀케어,0,(빈 열),—,미출력
S0,메타 (보고서 미출력),,이젠오토 · 셀케어,1,응답시간,—,미출력
S0,메타 (보고서 미출력),,이젠오토 · 셀케어,2,본인의 이름과 휴대폰 번호 끝 4자리를 입력해주세요 (예시-김oo /,—,미출력
S0,메타 (보고서 미출력),,이젠오토 · 셀케어,7,차량번호를 입력해주세요,—,미출력
S0,메타 (보고서 미출력),,이젠오토 · 셀케어,46,카카오톡 채널 추가한 이미지를 업로드 해주세요.,—,미출력
S0,메타 (보고서 미출력),,정리습관,0,(빈 열),—,미출력
S0,메타 (보고서 미출력),,정리습관,1,응답시간,—,미출력
S0,메타 (보고서 미출력),,정리습관,2,"본 설문은 ‘정리습관’의 사용성 테스트를 위한 것으로, 설문에 응답하기 전에 반드시 서비스를 체험해 주시기 바랍니다.",—,미출력
S0,메타 (보고서 미출력),,정리습관,3,서비스 체험 인증을 위해’예상 견적 확인’ 페이지를 캡쳐하여 아래에 업로드해주세요,—,미출력
S0,메타 (보고서 미출력),,정리습관,4,휴대폰 뒷번호 4자리,—,미출력
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,0,Response ID,—,미출력
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,1,Time Submitted,—,미출력
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,2,"수준 높은 글쓰기를 위한 AI 글첨삭 서비스, 키위티",—,미출력
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,3,개인정보 수집 및 이용 동의서,—,미출력
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,4,리워드 증정을 위해 안내드릴 연락처를 작성해주세요,—,미출력
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,5,키위티 가입에 사용한 계정을 알려주세요.,—,미출력
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,40,다음은 키위티 사용 가격 안내표입니다.  ※ 앞 문항 귀속: Q8. 글 첨삭 서비스를 구매(혹은 이용 결정)함에 있어서 가장 영향을 미칠 수 있는 핵심 요인은 무엇이라고 생각하십니까? - 이용 자유도,—,미출력
